sample,rootstock,scion,location,year
C_1,Teleki_5C,Chardonnay,Liberty,y2018
C_2,Teleki_5C,Chardonnay,Liberty,y2018
C_3,Teleki_5C,Chardonnay,Liberty,y2018
C_4,1103_Paulsen,Chardonnay,Liberty,y2018
C_5,1103_Paulsen,Chardonnay,Liberty,y2018
C_6,1103_Paulsen,Chardonnay,Liberty,y2018
C_7,Freedom,Chardonnay,Liberty,y2018
C_8,Freedom,Chardonnay,Liberty,y2018
C_9,Freedom,Chardonnay,Liberty,y2018
C_10,Freedom,Cabernet_Sauvignon,Liberty,y2018
C_11,Freedom,Cabernet_Sauvignon,Liberty,y2018
C_12,Freedom,Cabernet_Sauvignon,Liberty,y2018
C_13,Teleki_5C,Cabernet_Sauvignon,Liberty,y2018
C_14,Teleki_5C,Cabernet_Sauvignon,Liberty,y2018
C_15,Teleki_5C,Cabernet_Sauvignon,Liberty,y2018
C_16,1103_Paulsen,Cabernet_Sauvignon,Liberty,y2018
C_17,1103_Paulsen,Cabernet_Sauvignon,Liberty,y2018
C_18,1103_Paulsen,Cabernet_Sauvignon,Liberty,y2018
C_19,1103_Paulsen,Cabernet_Sauvignon,Livingston,y2018
C_20,1103_Paulsen,Cabernet_Sauvignon,Livingston,y2018
C_21,1103_Paulsen,Cabernet_Sauvignon,Livingston,y2018
C_22,Freedom,Cabernet_Sauvignon,Livingston,y2018
C_23,Freedom,Cabernet_Sauvignon,Livingston,y2018
C_24,Freedom,Cabernet_Sauvignon,Livingston,y2018
C_25,Freedom,Chardonnay,Livingston,y2018
C_26,Freedom,Chardonnay,Livingston,y2018
C_27,Freedom,Chardonnay,Livingston,y2018
C_28,Teleki_5C,Chardonnay,Livingston,y2018
C_29,Teleki_5C,Chardonnay,Livingston,y2018
C_30,Teleki_5C,Chardonnay,Livingston,y2018
C_31,Teleki_5C,Cabernet_Sauvignon,Ripperdan,y2018
C_32,Teleki_5C,Cabernet_Sauvignon,Ripperdan,y2018
C_33,Teleki_5C,Cabernet_Sauvignon,Ripperdan,y2018
C_34,1103_Paulsen,Chardonnay,Ripperdan,y2018
C_35,1103_Paulsen,Chardonnay,Ripperdan,y2018
C_36,1103_Paulsen,Chardonnay,Ripperdan,y2018
C_37,Freedom,Cabernet_Sauvignon,Ripperdan,y2018
C_38,Freedom,Cabernet_Sauvignon,Ripperdan,y2018
C_39,Freedom,Cabernet_Sauvignon,Ripperdan,y2018
C_40,Freedom,Chardonnay,Ripperdan,y2018
C_41,Freedom,Chardonnay,Ripperdan,y2018
C_42,Freedom,Chardonnay,Ripperdan,y2018
C_43,Teleki_5C,Cabernet_Sauvignon,Liberty,y2018
C_44,Teleki_5C,Cabernet_Sauvignon,Liberty,y2018
C_45,Teleki_5C,Cabernet_Sauvignon,Liberty,y2018
C_46,1103_Paulsen,Cabernet_Sauvignon,Liberty,y2018
C_47,1103_Paulsen,Cabernet_Sauvignon,Liberty,y2018
C_48,1103_Paulsen,Cabernet_Sauvignon,Liberty,y2018
C_49,Freedom,Cabernet_Sauvignon,Liberty,y2018
C_50,Freedom,Cabernet_Sauvignon,Liberty,y2018
C_51,Freedom,Cabernet_Sauvignon,Liberty,y2018
C_52,1103_Paulsen,Chardonnay,Liberty,y2018
C_53,1103_Paulsen,Chardonnay,Liberty,y2018
C_54,1103_Paulsen,Chardonnay,Liberty,y2018
C_55,Teleki_5C,Chardonnay,Liberty,y2018
C_56,Teleki_5C,Chardonnay,Liberty,y2018
C_57,Teleki_5C,Chardonnay,Liberty,y2018
C_58,Freedom,Chardonnay,Liberty,y2018
C_59,Freedom,Chardonnay,Liberty,y2018
C_60,Freedom,Chardonnay,Liberty,y2018
C_61,Freedom,Cabernet_Sauvignon,Livingston,y2018
C_62,Freedom,Cabernet_Sauvignon,Livingston,y2018
C_63,Freedom,Cabernet_Sauvignon,Livingston,y2018
C_64,Freedom,Chardonnay,Livingston,y2018
C_65,Freedom,Chardonnay,Livingston,y2018
C_66,Freedom,Chardonnay,Livingston,y2018
C_67,Teleki_5C,Chardonnay,Livingston,y2018
C_68,Teleki_5C,Chardonnay,Livingston,y2018
